product_id,sku,product_name,fit_id,fabric_id,wash_state,gender,default_inseam_label,colorway,status,regular_price,sales_price,nf_product_url,description_html,release_season,run_code,notes,denim_weight_oz,denim_cat,material,made_in,product_description,collections,is_jeans,scraped_at
black_canvas_raw,165143465,Chore Coat - Black Canvas,,black_canvas,,mens,,black,regular,264.00,,https://nakedandfamousdenim.com/products/naked-famous-denim-chore-coat-black-canvas,"<div class=""ndf-description"">
<p>The Black Canvas is a 10oz Japanese plainweave fabric with 1% stretch for comfort. A classic utilitarian cloth, the smooth-faced canvas resists snags and tears. Cut, sewn, built in Canada. The Chore Coat is a classic workwear coat cut to fit comfortably in the chest and arms with two chest patch pockets and two roomy hip pockets. </p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Black Canvas</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Chore Coat</span></span></li>
<li class=""lc-row""><span class=""lc-line"">10oz Japanese Canvas</span></li>
<li class=""lc-row""><span class=""lc-line"">99% Cotton / 1% Elastane</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">165143465</span></span></li>
</ul>
</div>",,,,10,10oz Japanese Canvas,99% Cotton / 1% Elastane,Made in Canada,"The Black Canvas is a 10oz Japanese plainweave fabric with 1% stretch for comfort. A classic utilitarian cloth, the smooth-faced canvas resists snags and tears. Cut, sewn, built in Canada. The Chore Coat is a classic workwear coat cut to fit comfortably in the chest and arms with two chest patch pockets and two roomy hip pockets.",,no,2026-01-30T00:27:09.592471
true_guy_sea_island_selvedge_indigo_raw,101132821,True Guy - Sea Island Selvedge - Indigo,true_guy,sea_island_selvedge_indigo,raw,mens,,indigo,regular,355.00,,https://nakedandfamousdenim.com/products/true-guy-sea-island-selvedge-indigo,"<div class=""ndf-description"">
<p>The Sea Island Selvedge is a 12oz Japanese selvedge denim crafted from Virgin American Sea Island Cotton—the most luxurious denim we’ve ever produced. Sea Island Cotton is an ultra-rare Extra-Long Staple cotton. Renowned for its silky luster, uniform texture, cashmere-like softness, and exceptional durability, this cotton has a rich and storied past. Originally cultivated in the West Indies in the 1600s, it was once so coveted that British royalty tried to keep it exclusive. In the 1800s, seeds made their way to the American colonies, but a devastating beetle infestation nearly wiped it out in the 1920s.</p>
<p>Fast forward to 2015…. seeds that were tucked away in a seed vault are plated in Texas and New Mexico. This American-grown strain, genetically identical to the original variety, is now being used by select Japanese mills, including ours. Inspired by 1920s-era denim, this fabric offers a glimpse into an alternate history. What if Sea Island Cotton had become the standard? Imagine a world where silky-soft, ultra-durable jeans was the norm! Finishing details include contrast stitching, a durable paper patch, antique copper hardware, and a pink selvedge ID.</p>
<p>The True Guy is a straight leg fit with a medium rise along with extra room in the seat and thigh that falls straight from knee to hem.</p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Sea Island Selvedge - Indigo</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">True Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">12oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Button Fly</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">101132821</span></span></li>
</ul>
</div>",,,exclusive,12,12oz Japanese Selvedge Denim,100% Cotton,Made in Canada,"The Sea Island Selvedge is a 12oz Japanese selvedge denim crafted from Virgin American Sea Island Cotton—the most luxurious denim we’ve ever produced. Sea Island Cotton is an ultra-rare Extra-Long Staple cotton. Renowned for its silky luster, uniform texture, cashmere-like softness, and exceptional durability, this cotton has a rich and storied past. Originally cultivated in the West Indies in the 1600s, it was once so coveted that British royalty tried to keep it exclusive. In the 1800s, seeds made their way to the American colonies, but a devastating beetle infestation nearly wiped it out in the 1920s.Fast forward to 2015…. seeds that were tucked away in a seed vault are plated in Texas and New Mexico. This American-grown strain, genetically identical to the original variety, is now being used by select Japanese mills, including ours. Inspired by 1920s-era denim, this fabric offers a glimpse into an alternate history. What if Sea Island Cotton had become the standard? Imagine a world where silky-soft, ultra-durable jeans was the norm! Finishing details include contrast stitching, a durable paper patch, antique copper hardware, and a pink selvedge ID.The True Guy is a straight leg fit with a medium rise along with extra room in the seat and thigh that falls straight from knee to hem.",,yes,2026-01-30T00:37:25.237310
standard_raw,,404 Not Found,,,,mens,,,regular,,,https://nakedandfamousdenim.com/products/crewneck-black-terry,,,,,,,,,,,no,2026-01-30T00:47:36.547543
easy_guy_max_brush_selvedge_indigo_raw,101132706,Easy Guy - Max Brush Selvedge - Indigo,easy_guy,max_brush_selvedge_indigo,raw,mens,,indigo,regular,263.00,,https://nakedandfamousdenim.com/products/easy-guy-max-brush-selvedge-indigo,"<div class=""ndf-description"">
<p><span>The Max Brush Selvedge is a 13.75oz Japanese selvedge denim designed for unparalleled softness and comfort. The exceptional softness comes from the fabric being brushed, creating a truly cozy feel.Inspired by our classic Left Hand Twill Selvedge, this version uses a broken twill construction to eliminate visible diagonal lines, allowing the brushed texture to take center stage. The denim is meticulously brushed in one direction and then again in the opposite, opening up the fibers for a luxuriously soft hand on both sides. Finishing details include contrast stitching, a plush suede leather patch, silver metallic hardware, and a clean white selvedge ID. </span></p>
<p><span>The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.</span></p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Max Brush Selvedge - Indigo</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Easy Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">13.75oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Button Fly</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">101132706</span></span></li>
</ul>
</div>",,,,13.75,13.75oz Japanese Selvedge Denim,100% Cotton,Made in Canada,"The Max Brush Selvedge is a 13.75oz Japanese selvedge denim designed for unparalleled softness and comfort. The exceptional softness comes from the fabric being brushed, creating a truly cozy feel.Inspired by our classic Left Hand Twill Selvedge, this version uses a broken twill construction to eliminate visible diagonal lines, allowing the brushed texture to take center stage. The denim is meticulously brushed in one direction and then again in the opposite, opening up the fibers for a luxuriously soft hand on both sides. Finishing details include contrast stitching, a plush suede leather patch, silver metallic hardware, and a clean white selvedge ID.The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.",,yes,2026-01-30T00:57:47.870242
"true_guy_texas_chainsaw_massacre_""leatherface""_selvedge_indigo_raw",TCM144021,"True Guy - Texas Chainsaw Massacre ""Leatherface"" Selvedge - Indigo",true_guy,"texas_chainsaw_massacre_""leatherface""_selvedge_indigo",raw,mens,,indigo,regular,349.00,,https://nakedandfamousdenim.com/products/true-guy-texas-chainsaw-massacre-indigo,"<div class=""ndf-description"">
<p><span data-olk-copy-source=""MessageBody"">The Leatherface Selvedge is our Halloween release, built around one of the most legendary horror films of all time: The <span class=""markj6klmesdh"" data-markjs=""true"" data-ogab="""" data-ogac="""" data-ogsb="""" data-ogsc="""">Texas</span> Chain Saw Massacre (1974). Grainy, brutal, and stripped of polish, the movie still feels dangerous, like something that wasn’t supposed to make it to theaters. Its tension comes from what it withholds: there’s little blood, no music, and almost no dialogue from the killer. Just heat, noise, and panic.</span></p>
<p>This fabric is made with 100% <span class=""markj6klmesdh"" data-markjs=""true"" data-ogab="""" data-ogac="""" data-ogsb="""" data-ogsc="""">Texas</span>-grown cotton, It’s spun into a 14.5oz rope-dyed indigo selvedge denim with a pale yellow weft, echoing Leatherface’s worn butcher’s apron. The color isn’t bright or clean, it’s the muted, washed-out yellow you see in aged canvas under harsh light.</p>
<p>The selvedge ID is finished in silver and red, nodding to the chrome of the chainsaw and the violence it leaves behind. The fabric is woven in Japan on shuttle looms, giving it a rigid hand and vertical texture that will evolve with wear and fade with time.</p>
<p>Each pair includes a natural vegetable-tanned leather patch, embossed and foil-stamped with officially licensed Leatherface artwork. The pocket bags are fully printed in color with film stills from the original 1974 release. And the co-branded woven label pulls from an actual newspaper ad used to promote the movie’s theatrical run.</p>
<p>Every element was designed to feel true to the film.</p>
<p>The True Guy is a straight leg fit with a regular rise along with extra room in the seat and thigh that falls straight from knee to hem.</p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Texas Chainsaw Massacre ""Leatherface"" Selvedge - Indigo</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">True Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">14.5oz Japanese Selvedge</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Button Fly</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">TCM144021</span></span></li>
</ul>
<p>LEATHERFACE®, THE TEXAS CHAINSAW MASSACRE® and all related characters, places, names and other indicia are registered trademarks of Vortex, Inc./Kim Henkel/Tobe Hooper. All Rights Reserved.<span data-teams=""true""><span> </span></span><br/></p>
</div>",,,,14.5,14.5oz Japanese Selvedge,100% Cotton,Made in Canada,"The Leatherface Selvedge is our Halloween release, built around one of the most legendary horror films of all time: TheTexasChain Saw Massacre (1974). Grainy, brutal, and stripped of polish, the movie still feels dangerous, like something that wasn’t supposed to make it to theaters. Its tension comes from what it withholds: there’s little blood, no music, and almost no dialogue from the killer. Just heat, noise, and panic.This fabric is made with 100%Texas-grown cotton, It’s spun into a 14.5oz rope-dyed indigo selvedge denim with a pale yellow weft, echoing Leatherface’s worn butcher’s apron. The color isn’t bright or clean, it’s the muted, washed-out yellow you see in aged canvas under harsh light.The selvedge ID is finished in silver and red, nodding to the chrome of the chainsaw and the violence it leaves behind. The fabric is woven in Japan on shuttle looms, giving it a rigid hand and vertical texture that will evolve with wear and fade with time.Each pair includes a natural vegetable-tanned leather patch, embossed and foil-stamped with officially licensed Leatherface artwork. The pocket bags are fully printed in color with film stills from the original 1974 release. And the co-branded woven label pulls from an actual newspaper ad used to promote the movie’s theatrical run.Every element was designed to feel true to the film.The True Guy is a straight leg fit with a regular rise along with extra room in the seat and thigh that falls straight from knee to hem.LEATHERFACE®, THE TEXAS CHAINSAW MASSACRE® and all related characters, places, names and other indicia are registered trademarks of Vortex, Inc./Kim Henkel/Tobe Hooper. All Rights Reserved.",,yes,2026-01-30T01:08:00.214984
easy_guy_solid_black_selvedge_raw,101061606,Easy Guy - Solid Black Selvedge,easy_guy,solid_black_selvedge,raw,mens,,black,regular,242.00,,https://nakedandfamousdenim.com/products/easy-guy-solid-black-selvedge,"<div class=""ndf-description"">
<p>The Solid Black Selvedge is a 13oz black Japanese selvedge denim. Both the warp and weft are sulfur-dyed black to create a pitch-black denim. The denim is woven on vintage shuttle looms in a right hand twill construction with a classic red line selvedge ID. Cut, sewn, built in Canada with black stitching, a full-grain black leather patch, and black metal buttons and rivets.</p>
<p><meta charset=""utf-8""/>The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.</p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Solid Black Selvedge</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Easy Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">13oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">101061606</span></span></li>
</ul>
</div>",,,,13,13oz Japanese Selvedge Denim,100% Cotton,Made in Canada,"The Solid Black Selvedge is a 13oz black Japanese selvedge denim. Both the warp and weft are sulfur-dyed black to create a pitch-black denim. The denim is woven on vintage shuttle looms in a right hand twill construction with a classic red line selvedge ID. Cut, sewn, built in Canada with black stitching, a full-grain black leather patch, and black metal buttons and rivets.The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.",,yes,2026-01-30T01:18:11.561261
weird_guy_cashmere_stretch_blend_denim_raw,013623,Weird Guy - Cashmere Stretch Blend Denim,weird_guy,cashmere_stretch_blend_denim,raw,mens,,,regular,306.00,,https://nakedandfamousdenim.com/products/weird-guy-cashmere-stretch-blend-denim,"<div class=""ndf-description"">
<p><strong></strong><span></span><span>The Cashmere Stretch Blend Denim is a 12oz indigo rope dyed Japanese denim, woven on vintage shuttle looms in a right hand twill construction. This denim is made with 10% cashmere and 2% stretch for luxurious comfort, without compromising durability. The brushed interior feels amazing on your skin. Other details include contrast stitching, brown suede leather patch, silver metallic buttons and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem.</span></p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Cashmere Stretch Blend Denim</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Weird Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">12oz Japanese Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">10% Cashmere / 88% Cotton / 2% Stretch</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">013623</span></span></li>
</ul>
</div>",,,,12,12oz Japanese Denim,10% Cashmere / 88% Cotton / 2% Stretch,Made in Canada,"The Cashmere Stretch Blend Denim is a 12oz indigo rope dyed Japanese denim, woven on vintage shuttle looms in a right hand twill construction. This denim is made with 10% cashmere and 2% stretch for luxurious comfort, without compromising durability. The brushed interior feels amazing on your skin. Other details include contrast stitching, brown suede leather patch, silver metallic buttons and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem.",,yes,2026-01-30T01:28:22.942155
10oz_rinsed_denim_indigo_rinsed,102126996,Pleated Trouser - 10oz Rinsed Denim - Indigo,,10oz_rinsed_denim_indigo,,mens,,indigo,regular,218.00,,https://nakedandfamousdenim.com/products/pleated-trouser-10oz-rinsed-denim-indigo,"<div class=""ndf-description"">
<p>The 10oz Rinsed Denim is a lightweight Japanese denim, pre-rinsed for a softer feel and easier break-in. Clean and minimal, it’s ideal for everyday wear. Finishing details include tonal stitching, a navy leather patch, and antique copper hardware.</p>
<p>The Pleated Trouser is a mid-rise relaxed fit with four-pocket styling, zip fly, twin pleats and a straight but tiny-bit tapered leg.</p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">10oz Rinsed Denim - Indigo</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Pleated Trouser</span></span></li>
<li class=""lc-row""><span class=""lc-line"">10oz Japanese Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">102126996</span></span></li>
</ul>
</div>",,,,10,10oz Japanese Denim,100% Cotton,Made in Canada,"The 10oz Rinsed Denim is a lightweight Japanese denim, pre-rinsed for a softer feel and easier break-in. Clean and minimal, it’s ideal for everyday wear. Finishing details include tonal stitching, a navy leather patch, and antique copper hardware.The Pleated Trouser is a mid-rise relaxed fit with four-pocket styling, zip fly, twin pleats and a straight but tiny-bit tapered leg.",,no,2026-01-30T01:38:34.051134
strong_guy_blue_grass_selvedge_raw,101730016,Strong Guy - Blue Grass Selvedge,strong_guy,blue_grass_selvedge,raw,mens,,blue,regular,219.00,,https://nakedandfamousdenim.com/products/strong-guy-blue-grass-selvedge,"<div class=""ndf-description"">
<p><span>The Blue Grass Selvedge is a 12.7oz Japanese Selvedge Denim with a rope dyed indigo warp exterior paired with a pale green tinted cotton weft interior.  The pale green weft shows though the twill lines on the front face of the fabric giving the denim an earthy tone.  The denim is crisp without being overtly rigid and has a smooth surface texture.  Cut, sewn, built in Canada with contrast stitching, blue line selvedge ID, brown leather patch, and silver metallic buttons and rivets.</span></p>
<p><span>The Strong Guy is a relaxed straight fit; high rise, fuller in the seat and thigh that falls to a wide leg opening.</span></p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Blue Grass Selvedge</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Strong Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">12.7oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">101730016</span></span></li>
</ul>
</div>",,,,12.7,12.7oz Japanese Selvedge Denim,100% Cotton,Made in Canada,"The Blue Grass Selvedge is a 12.7oz Japanese Selvedge Denim with a rope dyed indigo warp exterior paired with a pale green tinted cotton weft interior.  The pale green weft shows though the twill lines on the front face of the fabric giving the denim an earthy tone.  The denim is crisp without being overtly rigid and has a smooth surface texture.  Cut, sewn, built in Canada with contrast stitching, blue line selvedge ID, brown leather patch, and silver metallic buttons and rivets.The Strong Guy is a relaxed straight fit; high rise, fuller in the seat and thigh that falls to a wide leg opening.",,yes,2026-01-30T01:48:45.883209
mij12_aomidori_selvedge_raw,160056660,Heritage Denim Jacket - MIJ12 - Aomidori Selvedge,,mij12_aomidori_selvedge,,mens,,,regular,598.00,,https://nakedandfamousdenim.com/products/heritage-denim-jacket-mij12-aomidori-selvedge,"<div class=""ndf-description"">
<p class=""MsoNormal"">Introducing the Aomidori Selvedge, the 12th edition in the Naked &amp; Famous Denim Made in Japan collection. Deriving its name from the Japanese ""Aomidori,"" meaning blue-green, this denim offers a stunning visual twist. At first glance, it resembles traditional indigo denim, yet it uniquely fades to a captivating greenish hue, thanks to an innovative dye technique.</p>
<p class=""MsoNormal"">There are two primary methods to achieve greencast denim: top dye and bottom dye. The top dye method involves adding a green tint after the indigo, giving the denim an initial green appearance. Conversely, the bottom dye technique, used for the Aomidori Selvedge, applies a green tint before the indigo rope dye process. This unique approach allows the denim to gradually reveal its greenish hue as it fades, setting it apart in both style and wear pattern.</p>
<p class=""MsoNormal"">Crafted with a robust 16oz weight, the denim is woven on vintage shuttle looms in Okayama, Japan. It remains unsanforized to retain its purest form, free from mechanical shrinkage processes, anti-skewing, or singeing. This preservation enhances the fabric’s texture, characterized by its pronounced vertical streakiness and the irregular sizes of its bumpy yarns, which fade at slightly different rates, adding depth and character to each pair.</p>
<p class=""MsoNormal"">To maintain its raw, textured appeal, the Aomidori Selvedge undergoes a tempi treatment. This process carefully shrinks the fabric while preserving its distinct characteristics, ensuring you can select your ideal fit from the start.</p>
<p class=""MsoNormal"">The jacket also boast a variety of expert finishing touches that contribute to its unique character: 100% iron buttons that develop a rust and patina, copper rivets that naturally oxidize, a premium sheepskin leather patch featuring the ""Flower of Carnage"" logo, and a selvedge placket. Additionally, a maple leaf embroidered on the front pocket adds a signature touch, encapsulating the heritage of the MIJ series.</p>
<p class=""MsoNormal"">Every element of the Aomidori Selvedge is meticulously crafted in Japan, showcasing the exceptional skill and attention to detail that goes into every step of the production process—from the dyeing of the yarns and the weaving of the fabric to the cutting and sewing of the final garment.</p>
<p>The Heritage Jacket pays homage to old type denim jackets capturing the essence of vintage style.  It features a pleated front, flap chest pockets and adjustable rear buttons to ensure the perfect fit. </p>
<ul class=""labelcard labelcard--bold"" data-mce-fragment=""1""><li class=""lc-head""><div class=""lc-title"">MIJ12 - Aomidori Selvedge</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Heritage Denim Jacket</span></span></li>
<li class=""lc-row"" data-mce-fragment=""1""><span class=""lc-line"">16oz Japanese Selvedge Denim</span></li>
<li class=""lc-row"" data-mce-fragment=""1""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row"" data-mce-fragment=""1""><span class=""lc-line"">Button Fly</span></li>
<li class=""lc-row"" data-mce-fragment=""1""><span class=""lc-line"">Rinse-washed, Tempi-treated</span></li>
<li class=""lc-row"" data-mce-fragment=""1""><span class=""lc-line"">Made in Japan</span></li>
<li class=""lc-row"" data-mce-fragment=""1""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">160056660</span></span></li>
</ul>
<p><span data-mce-fragment=""1""><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/z4iU5Cu1ZUg?si=K5_jcx9eSX4nuVu0"" title=""YouTube video player"" width=""560""></iframe></span></p>
</div>",,,,16,16oz Japanese Selvedge Denim,100% Cotton,Made in Japan,"Introducing the Aomidori Selvedge, the 12th edition in the Naked & Famous Denim Made in Japan collection. Deriving its name from the Japanese ""Aomidori,"" meaning blue-green, this denim offers a stunning visual twist. At first glance, it resembles traditional indigo denim, yet it uniquely fades to a captivating greenish hue, thanks to an innovative dye technique.There are two primary methods to achieve greencast denim: top dye and bottom dye. The top dye method involves adding a green tint after the indigo, giving the denim an initial green appearance. Conversely, the bottom dye technique, used for the Aomidori Selvedge, applies a green tint before the indigo rope dye process. This unique approach allows the denim to gradually reveal its greenish hue as it fades, setting it apart in both style and wear pattern.Crafted with a robust 16oz weight, the denim is woven on vintage shuttle looms in Okayama, Japan. It remains unsanforized to retain its purest form, free from mechanical shrinkage processes, anti-skewing, or singeing. This preservation enhances the fabric’s texture, characterized by its pronounced vertical streakiness and the irregular sizes of its bumpy yarns, which fade at slightly different rates, adding depth and character to each pair.To maintain its raw, textured appeal, the Aomidori Selvedge undergoes a tempi treatment. This process carefully shrinks the fabric while preserving its distinct characteristics, ensuring you can select your ideal fit from the start.The jacket also boast a variety of expert finishing touches that contribute to its unique character: 100% iron buttons that develop a rust and patina, copper rivets that naturally oxidize, a premium sheepskin leather patch featuring the ""Flower of Carnage"" logo, and a selvedge placket. Additionally, a maple leaf embroidered on the front pocket adds a signature touch, encapsulating the heritage of the MIJ series.Every element of the Aomidori Selvedge is meticulously crafted in Japan, showcasing the exceptional skill and attention to detail that goes into every step of the production process—from the dyeing of the yarns and the weaving of the fabric to the cutting and sewing of the final garment.The Heritage Jacket pays homage to old type denim jackets capturing the essence of vintage style.  It features a pleated front, flap chest pockets and adjustable rear buttons to ensure the perfect fit.",,no,2026-01-30T01:58:57.251794
